City,MSE,MAE
Alberta,7.8301682472229,2.489232063293457
British Columbia,5.662663459777832,2.1316797733306885
Canada,9.119523048400879,2.1634695529937744
Manitoba,6.9505934715271,2.384089469909668
New Brunswick,21.994834899902344,4.464663982391357
Newfoundland and Labrador,101.47863006591797,9.818419456481934
Nova Scotia,9.26440143585205,2.388700246810913
Ontario,3.232943534851074,1.3128471374511719
Prince Edward Island,23.048580169677734,4.360613822937012
Quebec,13.219681739807129,3.4144554138183594
Saskatchewan,11.92938232421875,2.7478859424591064
