City,MSE,MAE,Feature Importance
Alberta,5.097668883202929,1.7114559995807084,[0.6242276 0.3757724]
British Columbia,2.110831279095768,1.07087687919721,[0.46595097 0.53404903]
Canada,3.569859504844142,1.497255610375423,[0.50836222 0.49163778]
Manitoba,0.778861871675693,0.7158296781999729,[0.63481521 0.36518479]
New Brunswick,2.524904326338784,1.2817572706809177,[0.85570493 0.14429507]
Newfoundland and Labrador,4.316455155618182,1.2358263119536053,[0.86042388 0.13957612]
Nova Scotia,0.7955541479740694,0.568636379947618,[0.48654478 0.51345522]
Ontario,2.979595920241192,1.3109997482781703,[0.50377246 0.49622754]
Prince Edward Island,1.328384322879055,1.0893108430568,[0.66157701 0.33842299]
Quebec,17.475778879378932,2.3335365102804158,[0.33623935 0.66376065]
Saskatchewan,3.8644622931957913,1.1859793761396356,[0.40620476 0.59379524]
